"Story","Title","Result","Date","Stability","Duration (s)"
"When usser interact alert pop","When prompt box pops up then click OK button to proceed","SUCCESS","2019-09-17T15:58:48.588+07:00[Asia/Bangkok]","0.0","24.8"
"When usser interact alert pop","When confirm box pops up then click OK button to proceed","SUCCESS","2019-09-17T15:59:16.148+07:00[Asia/Bangkok]","0.0","11.1"
"When usser interact alert pop","When confirm box pops up then click cancel button to proceed","SUCCESS","2019-09-17T15:59:30.885+07:00[Asia/Bangkok]","0.0","9.48"
