"Story","Title","Result","Date","Stability","Duration (s)"
"When soft assert","Soft assertion assertj test","PENDING","2019-09-17T16:00:45.171+07:00[Asia/Bangkok]","0.0","0.36"
"When register new account","Verify shared steps","PENDING","2019-09-17T16:00:32.478+07:00[Asia/Bangkok]","0.0","0.4"
